"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural Gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
AZPS,"1/1/2025, Mountain Time",3218,8024,0,2009,0,28975,9635,0
AZPS,"1/2/2025, Mountain Time",5536,7864,0,4651,0,23898,18987,0
AZPS,"1/3/2025, Mountain Time",6279,5309,0,4179,0,28247,19429,0
AZPS,"1/4/2025, Mountain Time",10278,6672,0,2310,0,23671,15581,0
AZPS,"1/5/2025, Mountain Time",3946,6766,0,1267,0,27457,17817,0
AZPS,"1/6/2025, Mountain Time",1721,6031,0,2898,0,27527,19164,0
AZPS,"1/7/2025, Mountain Time",5043,5103,0,2359,0,30152,20337,0
AZPS,"1/8/2025, Mountain Time",4503,5235,0,2349,0,27113,18857,0
AZPS,"1/9/2025, Mountain Time",9747,7536,0,2494,0,26104,16901,0
AZPS,"1/10/2025, Mountain Time",5695,7303,0,3094,0,25820,16518,0
AZPS,"1/11/2025, Mountain Time",8867,7904,0,1810,0,26463,15762,0
AZPS,"1/12/2025, Mountain Time",2403,8314,0,2683,0,28962,16279,0
AZPS,"1/13/2025, Mountain Time",2197,7810,0,4580,0,29833,17349,0
AZPS,"1/14/2025, Mountain Time",2717,7849,0,2438,0,27561,18559,0
AZPS,"1/15/2025, Mountain Time",2201,7630,0,3031,0,27267,16304,0
AZPS,"1/16/2025, Mountain Time",2879,6104,0,3165,0,28773,14456,0
AZPS,"1/17/2025, Mountain Time",8095,7742,0,1785,0,20401,13562,0
AZPS,"1/18/2025, Mountain Time",4799,9162,0,2411,0,22879,7395,0
AZPS,"1/19/2025, Mountain Time",5439,10110,0,2618,0,22712,7402,0
AZPS,"1/20/2025, Mountain Time",5487,10185,0,2618,0,22559,7329,0
